,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
39,39,1931.4794144,2024-12-10 19:48:33.455163,2024-12-10 19:53:27.148661,0 days 00:04:53.693498,relu,16,0.2,2.2156833516500245e-05,0.99,0.99,4.7738221986759394e-05,2.0,20,2048,medium,0.5397425796550631,COMPLETE
40,40,1869.2530484,2024-12-10 19:51:45.627484,2024-12-10 19:59:38.905127,0 days 00:07:53.277643,relu,8,0.2,0.0038276288199974567,0.92,0.98,4.1523241390850304e-05,0.5,20,2048,tiny,0.8557136421286882,COMPLETE
41,41,449.9248796,2024-12-10 19:53:27.149394,2024-12-10 19:57:58.651303,0 days 00:04:31.501909,relu,16,0.2,0.00021958808839524091,0.99,0.9999,3.285529238280902e-05,2.0,20,256,medium,0.19894658181232822,PRUNED
42,42,373.6090948,2024-12-10 19:57:58.651913,2024-12-10 20:03:14.181478,0 days 00:05:15.529565,relu,16,0.4,0.00020502919914236242,0.99,0.99,0.0006095718892154019,2.0,20,2048,medium,0.41358007637263416,PRUNED
43,43,2428.0327524,2024-12-10 19:59:38.905904,2024-12-10 20:03:16.120672,0 days 00:03:37.214768,relu,32,0.2,2.1945495482291712e-05,0.99,0.99,3.373204364613298e-05,0.7,20,1024,medium,0.514490835412742,COMPLETE
44,44,1992.04941,2024-12-10 20:03:14.182064,2024-12-10 20:12:35.097085,0 days 00:09:20.915021,relu,8,0.3,0.0001755795391020008,0.98,0.98,4.0306425211855035e-05,0.5,20,2048,tiny,0.7984631495788873,COMPLETE
45,45,2582.029482,2024-12-10 20:03:16.121371,2024-12-10 20:07:56.845713,0 days 00:04:40.724342,relu,16,0.2,6.940040122770883e-05,0.99,0.99,5.34854895110202e-05,0.7,20,1024,medium,0.5742893458981521,COMPLETE
46,46,1762.8781684,2024-12-10 20:07:56.846464,2024-12-10 20:12:07.974511,0 days 00:04:11.128047,relu,32,0.2,0.02190005249214129,0.99,0.99,9.680339232896044e-05,0.7,20,1024,small,0.4963764151126491,COMPLETE
47,47,1824.8615863999999,2024-12-10 20:12:07.975386,2024-12-10 20:16:56.817221,0 days 00:04:48.841835,relu,64,0.2,3.876783426731397e-05,0.9,0.99,1.1982783500429852e-05,0.7,20,1024,medium,0.9397536470523659,COMPLETE
48,48,817.9390374,2024-12-10 20:12:35.098143,2024-12-10 20:28:28.840800,0 days 00:15:53.742657,relu,16,0.2,4.929341015676988e-05,1.0,0.99,6.418915757049225e-05,0.7,20,8,tiny,0.7277808837636063,PRUNED
