,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
43,43,-0.264432,2024-12-10 14:21:21.291771,2024-12-10 14:26:54.361904,0 days 00:05:33.070133,relu,16,0.4,0.005573905000747758,0.8,0.9999,0.00018398410738553383,5.0,20,2048,tiny,0.43539057181558033,COMPLETE
44,44,-0.2074452,2024-12-10 14:24:55.384599,2024-12-10 14:26:43.275798,0 days 00:01:47.891199,relu,512,0.4,4.133523777989653e-06,0.9,0.95,0.0003164653682502614,5.0,20,2048,tiny,0.38935428263780236,COMPLETE
45,45,-0.18747960000000002,2024-12-10 14:26:43.276847,2024-12-10 14:28:55.819710,0 days 00:02:12.542863,tanh,512,0.2,2.1718767602615975e-05,0.95,0.95,0.0013347496506103842,5.0,20,2048,tiny,0.41394898180129946,COMPLETE
46,46,-1.7191972,2024-12-10 14:26:54.363237,2024-12-10 14:29:48.479389,0 days 00:02:54.116152,relu,64,0.4,4.785198909065274e-07,0.8,0.95,5.329502637391845e-05,5.0,10,2048,tiny,0.4911832879454933,PRUNED
47,47,-0.19549,2024-12-10 14:28:55.820645,2024-12-10 14:31:00.360184,0 days 00:02:04.539539,relu,512,0.4,1.2911743836821262e-06,0.9,0.98,0.000307324846667307,5.0,20,2048,tiny,0.5587147698163036,COMPLETE
48,48,-0.4146566,2024-12-10 14:29:48.480288,2024-12-10 14:33:03.968052,0 days 00:03:15.487764,tanh,512,0.3,3.9672597641046544e-05,0.95,0.95,0.0008680517139715764,5.0,20,64,tiny,0.42291469638298207,PRUNED
49,49,-0.2919494,2024-12-10 14:31:00.362263,2024-12-10 14:33:28.491419,0 days 00:02:28.129156,tanh,128,0.2,0.00015524403998338728,0.95,0.95,0.0003212709041017367,0.7,20,2048,tiny,0.49824044557363417,COMPLETE
50,50,-0.183637,2024-12-10 14:33:03.969749,2024-12-10 14:36:06.556218,0 days 00:03:02.586469,tanh,128,0.1,0.015418950288585366,0.8,0.995,0.0010849588714152687,0.3,20,128,tiny,0.41623601280687716,COMPLETE
51,51,-5.710107600000001,2024-12-10 14:33:28.492599,2024-12-10 14:35:33.639275,0 days 00:02:05.146676,tanh,512,0.1,4.594783850541355e-07,0.9,0.98,0.0007998001706348727,5.0,1,2048,tiny,0.6328532069148586,PRUNED
52,52,-0.1884634,2024-12-10 14:35:33.640761,2024-12-10 14:37:56.539870,0 days 00:02:22.899109,relu,512,0.4,1.2497333635101648e-07,0.9,0.98,0.0003483177825290243,0.6,20,1024,tiny,0.5567173862546542,COMPLETE
53,53,-0.2370914,2024-12-10 14:36:06.558825,2024-12-10 14:38:24.429694,0 days 00:02:17.870869,tanh,128,0.1,0.004444303814086673,0.8,0.98,0.00034124602566638456,0.3,5,128,tiny,0.27065161710006264,COMPLETE
54,54,-0.22152840000000001,2024-12-10 14:37:56.540992,2024-12-10 14:41:14.756059,0 days 00:03:18.215067,tanh,32,0.1,0.0015093242240438673,0.9,0.995,0.0006721659354168587,0.5,20,128,tiny,0.358405566399918,COMPLETE
55,55,-7.773478800000001,2024-12-10 14:38:24.430557,2024-12-10 14:48:03.048902,0 days 00:09:38.618345,tanh,128,0.1,0.0016489235720510871,0.98,0.995,0.0005315230354856859,0.3,20,8,tiny,0.20470142680936057,PRUNED
